,District,State,Literacy
1, Thane, Maharashtra, 84.53
2, North Twenty Four Parganas, West Bengal, 84.06
3, Bangalore, Karnataka, 87.67
4, Pune, Maharashtra, 86.15
5, Mumbai Suburban, Maharashtra, 89.91
6, South Twenty Four Parganas, West Bengal, 77.51
7, Barddhaman, West Bengal, 76.21
8, Ahmadabad, Gujarat, 85.31
9, Murshidabad, West Bengal, 66.59
10, Jaipur, Rajasthan, 75.51
11, Nashik, Maharashtra, 82.31
12, Surat, Gujarat, 85.53
13, Allahabad, Uttar Pradesh, 72.32
14, Paschim Medinipur, West Bengal, 78.00
15, Patna, Bihar, 70.68
16, Hugli, West Bengal, 81.80
17, Rangareddy, Andhra Pradesh, 75.87
18, Nadia, West Bengal, 74.97
19, East Godavari, Andhra Pradesh, 70.99
20, Purbi Champaran, Bihar, 55.79
21, Purba Medinipur, West Bengal, 87.02
22, Guntur, Andhra Pradesh, 67.40
23, Haora, West Bengal, 83.31
24, Muzaffarpur, Bihar, 63.43
25, Belgaum, Karnataka, 73.48
26, Moradabad, Uttar Pradesh, 56.77
27, Ghaziabad, Uttar Pradesh, 78.07
28, Nagpur, Maharashtra, 88.39
29, Chennai, Tamil Nadu, 90.18
30, Azamgarh, Uttar Pradesh, 70.93
31, Lucknow, Uttar Pradesh, 77.29
32, Kanpur Nagar, Uttar Pradesh, 79.65
33, Ahmadnagar, Maharashtra, 79.05
34, Krishna, Andhra Pradesh, 73.74
35, Kolkata, West Bengal, 86.31
36, Jaunpur, Uttar Pradesh, 71.55
37, Madhubani, Bihar, 58.62
38, Sitapur, Uttar Pradesh, 61.12
39, Bareilly, Uttar Pradesh, 58.49
40, Gorakhpur, Uttar Pradesh, 70.83
41, Agra, Uttar Pradesh, 71.58
42, Gaya, Bihar, 63.67
43, Solapur, Maharashtra, 77.02
44, Visakhapatnam, Andhra Pradesh, 66.91
45, Samastipur, Bihar, 61.86
46, Jalgaon, Maharashtra, 78.20
47, Chittoor, Andhra Pradesh, 71.53
48, Vadodara, Gujarat, 78.92
49, Muzaffarnagar, Uttar Pradesh, 69.12
50, Malappuram, Kerala, 93.57
51, Hardoi, Uttar Pradesh, 64.57
52, Anantapur, Andhra Pradesh, 63.57
53, Raipur, Chhattisgarh, 75.56
54, Kurnool, Andhra Pradesh, 59.97
55, Mahbubnagar, Andhra Pradesh, 55.04
56, Kheri, Uttar Pradesh, 60.56
57, Kancheepuram, Tamil Nadu, 84.49
58, Maldah, West Bengal, 61.73
59, Saran, Bihar, 65.96
60, Hyderabad, Andhra Pradesh, 83.25
61, Darbhanga, Bihar, 56.56
62, West Godavari, Andhra Pradesh, 74.63
63, Vellore, Tamil Nadu, 79.17
64, Pashchim Champaran, Bihar, 55.70
65, Kolhapur, Maharashtra, 81.51
66, Jalpaiguri, West Bengal, 73.25
67, Rajkot, Gujarat, 80.96
68, Sultanpur, Uttar Pradesh, 69.27
69, Karimnagar, Andhra Pradesh, 64.15
70, Thiruvallur, Tamil Nadu, 84.03
71, Aurangabad, Maharashtra, 79.02
72, Jodhpur, Rajasthan, 65.94
73, Bijnor, Uttar Pradesh, 68.48
74, Budaun, Uttar Pradesh, 51.29
75, Varanasi, Uttar Pradesh, 75.60
76, Alwar, Rajasthan, 70.72
77, Aligarh, Uttar Pradesh, 67.52
78, North West Delhi, Delhi, 84.45
79, Ghazipur, Uttar Pradesh, 71.78
80, Bankura, West Bengal, 70.26
81, Kushinagar, Uttar Pradesh, 65.25
82, Ganjam, Orissa, 71.09
83, Warangal, Andhra Pradesh, 65.11
84, Birbhum, West Bengal, 70.68
85, Bulandshahar, Uttar Pradesh, 68.88
86, Ludhiana, Punjab, 82.20
87, Vaishali, Bihar, 66.60
88, Nalgonda, Andhra Pradesh, 64.20
89, Bahraich, Uttar Pradesh, 49.36
90, Salem, Tamil Nadu, 72.86
91, Saharanpur, Uttar Pradesh, 70.49
92, Viluppuram, Tamil Nadu, 71.88
93, Coimbatore, Tamil Nadu, 83.98
94, Meerut, Uttar Pradesh, 72.84
95, Gonda, Uttar Pradesh, 58.71
96, Sitamarhi, Bihar, 52.05
97, Rae Bareli, Uttar Pradesh, 67.25
98, Prakasam, Andhra Pradesh, 63.08
99, Nanded, Maharashtra, 75.45
100, Durg, Chhattisgarh, 79.06
101, Siwan, Bihar, 69.45
102, Nagaur, Rajasthan, 62.80
103, Thiruvananthapuram, Kerala, 93.02
104, Ernakulam, Kerala, 95.89
105, Indore, Madhya Pradesh, 80.87
106, Purnia, Bihar, 51.08
107, Barabanki, Uttar Pradesh, 61.75
108, Ballia, Uttar Pradesh, 70.94
109, Pratapgarh, Uttar Pradesh, 70.09
110, Thrissur, Kerala, 95.08
111, Banaskantha, Gujarat, 65.32
112, Unnao, Uttar Pradesh, 66.37
